shiftname,start time,end time,length,date,route,department
13-AM, 6:45,10:52,4,6/13/14,30,Bus
41-PM,14:02,18:02,4,6/13/14,37,Bus
13-AM, 6:45,10:52,4,6/16/14,30,Bus
41-AM, 8:40,11:02,2.25,6/17/14,37,Bus
44-PM,14:57,18:25,3.5,6/17/14,32,Bus
03-MID,11:16,14:17,3,6/20/14,31,Bus
13-AM, 6:45,10:52,4,6/20/14,30,Bus
43-AM, 6:40, 8:54,2.25,6/24/14,46,Bus
13-AM, 6:45,10:52,4,6/25/14,30,Bus
42-AM, 6:10, 8:32,2.25,6/26/14,45,Bus
42-PM,15:55,18:40,2.75,6/26/14,45,Bus
41-MID,11:02,14:02,3,6/27/14,37,Bus
44-AM,7:00,10:18,3.25,6/27/14,32,Bus
03-AM, 6:21,11:16,5,6/30/14,31,Bus
43-AM, 6:40, 8:54,2.25,7/2/14,46,Bus
01-AM, 6:28,11:22,5,7/3/14,31,Bus
44-AM, 8:50,12:05,3.25,7/19/14,32,Bus
44-AM,7:00,10:18,3.25,7/22/14,32,Bus
11-AM, 6:55,11:00,4,7/23/14,30,Bus
01-AM, 6:28,11:22,5,7/24/14,31,Bus
11-AM, 6:55,11:00,4,7/25/14,30,Bus
41-MID,11:02,14:02,3,7/25/14,37,Bus
13-AM, 6:45,10:52,4,7/28/14,30,Bus
01-AM, 6:28,11:22,5,7/29/14,31,Bus
03-AM, 6:21,11:16,5,7/30/14,31,Bus
30-1 AM, 6:55,11:00,4,8/1/14,30,Bus
32-1 MID,11:25,14:40,3.25,8/1/14,32,Bus
32-1 AM,7:00,10:18,3.25,8/5/14,32,Bus
31-3 AM, 6:21,11:16,5,8/6/14,31,Bus
30-1 AM, 6:55,11:00,4,8/7/14,30,Bus
30-1 AM, 6:55,11:00,4,8/8/14,30,Bus
30-1 AM, 6:55,11:00,4,8/11/14,30,Bus
32-1 MID,11:25,14:40,3.25,8/13/14,32,Bus
32-1 AM,7:00,10:18,3.25,8/14/14,32,Bus
30-1 AM, 6:55,11:00,4,8/15/14,30,Bus
30-1 AM, 6:55,11:00,4,8/19/14,30,Bus
30-1 AM, 6:55,11:00,4,8/20/14,30,Bus
32-1 MID,11:25,14:40,3.25,8/20/14,32,Bus
32-1 MID,11:25,14:40,3.25,8/21/14,32,Bus
31-3 AM, 6:21,11:16,5,8/22/14,31,Bus
30-1 MID,11:00,14:22,3.25,8/26/14,30,Bus
32-1 AM,7:00,10:18,3.25,8/26/14,32,Bus
30-3 AM, 6:45,10:52,4,8/28/14,30,Bus
32-1 MID,11:25,14:40,3.25,8/28/14,32,Bus
32-1 MID,11:25,14:40,3.25,9/1/14,32,Bus
B-EVE2 Part 2,21:31,23:57,2.5,4/24/14,34,Bus
Pax Relations Meeting,19:00,21:00,2,4/23/14,,Training
02-MID Part 1,11:06,11:47,0.75,4/28/14,31,Bus
32-PM Part 2,17:15,19:55,2.75,4/30/14,39,Bus
11-MID Part 2,13:00,14:22,1.25,5/9/14,30,Bus
01-EVE Part 2,19:10,23:14,4,5/10/14,31,Bus
shift run over,18:30,19:45,1.25,5/9/14,,Bus
Field Trip,16:30,21:00,4.5,7/19/14,,Field Trip
Field Trip,16:30,19:06,2.5,8/1/14,,Field Trip
Service Work,11:00,14:50,3.75,5/22/14,,Service
13-MID Part 1,10:52,11:30,0.75,5/30/14,30,Bus
44-PM Part 2,15:47,17:59,2.25,5/31/14,32,Bus
Training,11:00,16:00,5,6/21/14,,Field Trip
Field Trip,13:00,17:30,4.5,7/26/14,,Field Trip
03-EVE Part 2,20:36,24:35:00,4,7/18/14,31,Bus
43-EVE Part 2,19:05,20:44,1.75,7/18/14,46,Bus
44-PM Part 1,13:50,16:30,2.75,7/19/14,32,Bus
03-PM Part 1,14:17,17:06,2.75,7/25/14,31,Bus
Field Trip,16:30,19:00,2.5,8/1/14,,Field Trip
Service Work,15:38,18:38,3,8/6/14,,Service
Service2 AM,7:21,10:37,3.25,9/2/14,,Service
Service1 AM,7:00,10:27,3.5,9/4/14,,Service
38-2 MID,11:10,14:10,3,9/2/14,38,Bus
33-1 AM, 6:46,10:46,4,9/3/14,33,Bus
35-2 PM2,16:53,19:54,3,9/8/14,35,Bus
Field Trip,10:45,12:45,2,9/6/14,,Field Trip
Moved buses,6:45,7:00,0.25,8/25/14,,Service
33-1 MID Part 1,10:46,11:00,0.25,9/4/14,33,Bus
33-1 MID Part 2,11:00,12:42,1.75,9/4/14,33,Bus
35-1 AM Part 2,8:53,10:44,1.75,9/5/14,35,Bus
Service2 AM Part 1,6:59,8:03,1,9/5/14,,Service
39-2 EVE,19:15,24:05:00,4.75,9/10/14,39,Bus
30-2 AM, 6:57,10:37,3.75,9/12/14,30,Bus
39-1 MID,12:50,17:20,4.5,9/13/14,39,Bus
35-1 PM,16:43,20:04,3.25,9/14/14,35,Bus
38-1 EVE,19:35,23:55,4.25,9/15/14,38,Bus
35-1 EVE,20:04,24:59:00,5,9/16/14,35,Bus
38-3 PM2,16:10,20:50,4.75,9/17/14,38,Bus
35-1 EVE,20:04,24:59:00,5,9/18/14,35,Bus
39-1 EVE,20:20,24:40:00,4.25,9/21/14,39,Bus
38-1 EVE,19:35,23:55,4.25,9/22/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,9/23/14,30,Bus
38-3 PM2,16:10,20:50,4.75,9/24/14,38,Bus
38-1 EVE,19:35,23:55,4.25,9/29/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,9/30/14,30,Bus
38-3 PM2,16:10,20:50,4.75,10/1/14,38,Bus
38-1 EVE,19:35,23:55,4.25,10/6/14,38,Bus
